search_batch_id	sample_category	pubmed_id
9797	Non Cancer Cell Lines	24696503
9796	Non Cancer Cell Lines	24696503
9795	Non Cancer Cell Lines	24696503
9794	Non Cancer Cell Lines	24696503
9793	Non Cancer Cell Lines	24696503
9704	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9703	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9702	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9706	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9705	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9700	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9701	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9699	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9698	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9697	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9696	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9695	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9694	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9693	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9692	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9691	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9690	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9689	Cancer Cell Lines, Other Female Reproductive Organ	24696503
9530	Testis	24669763
9528	Placenta	24669763
9525	Ovary	24669763
9523	Liver	24669763
9521	Heart	24669763
9519	Digestive System	24669763
9517	Brain	24669763
9516	Urinary Bladder	24669763
9515	Urinary Bladder	24669763
9514	Testis	24669763
9513	Testis	24669763
9512	Other Anatomical Entities	24669763
9511	Other Anatomical Entities	24669763
9509	Eye	24669763
9508	Eye	24669763
9507	Digestive System	24669763
9506	Digestive System	24669763
9505	Other Male Reproductive Organ	24669763
9504	Other Male Reproductive Organ	24669763
9502	Blood Cells	24669763
9500	Pancreas	24669763
9499	Pancreas	24669763
9498	Ovary	24669763
9497	Ovary	24669763
9495	Blood Cells	24669763
9493	Blood Cells	24669763
9490	Blood Cells	24669763
9488	Lung	24669763
